# Weather station Moscow, Russia, WMO_ID=27612,selection from 05.01.2018 till 05.01.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27612&lang=en
#
"Local time in Moscow";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2018 06:00";"-2.2";"751.4";"766.5";"0.4";"92";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-2.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-3.3";"Trace of precipitation";"12";"";"";"";"";
"31.12.2018 03:00";"-1.7";"751.0";"766.0";"0.4";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Freezing drizzle or freezing rain not falling as shower(s).  Diameter of glaze deposit is 1 mm.";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-2.8";"";"";"";"";"";"";
"31.12.2018 00:00";"-1.5";"750.6";"765.6";"0.2";"93";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Drizzle, freezing, slight. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-2.5";"";"";"";"";"";"";
"30.12.2018 21:00";"-1.5";"750.4";"765.4";"0.3";"92";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-1.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-2.7";"No precipitation";"12";"";"";"";"";
"30.12.2018 18:00";"-1.8";"750.1";"765.1";"0.4";"91";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-3.1";"No precipitation";"12";"";"";"";"";
"30.12.2018 15:00";"-2.0";"749.7";"764.8";"-0.1";"88";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"4.0";"-3.7";"";"";"";"";"";"";
"30.12.2018 12:00";"-3.0";"749.8";"764.8";"-0.1";"90";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"4.0";"-4.4";"";"";"";"";"";"";
"30.12.2018 09:00";"-3.8";"749.9";"765.1";"0.2";"90";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-6.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"4.0";"-5.2";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"25.0";
"30.12.2018 06:00";"-4.6";"749.7";"764.9";"-0.8";"93";"Wind blowing from the south";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-6.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"";"-5.6";"No precipitation";"12";"";"";"";"";
"30.12.2018 03:00";"-5.2";"750.5";"765.7";"-0.2";"91";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-6.4";"";"";"";"";"";"";
"30.12.2018 00:00";"-5.8";"750.7";"766.0";"-0.6";"86";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"";"-7.8";"";"";"";"";"";"";
"29.12.2018 21:00";"-6.4";"751.3";"766.6";"0.0";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"-6.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"-10.1";"No precipitation";"12";"";"";"";"";
"29.12.2018 18:00";"-6.6";"751.3";"766.6";"0.4";"67";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-11.7";"No precipitation";"12";"";"";"";"";
"29.12.2018 15:00";"-6.8";"750.9";"766.2";"-0.2";"72";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-11.0";"";"";"";"";"";"";
"29.12.2018 12:00";"-7.9";"751.1";"766.5";"0.8";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"";"";"";"10.0";"-10.2";"";"";"";"";"";"";
"29.12.2018 09:00";"-9.2";"750.3";"765.7";"0.8";"94";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-10.0";"No precipitation";"12";"";"";"Even layer of loose dry snow covering ground completely.";"26.0";
